"q","p","d","n","replications","svd_failure_rate","os_failure_rate","rml_failure_rate","svd_rmse","os_rmse","rml_rmse","rmse_os_rml","os_rml_distance_mean","relative_os_rml_distance_mean","scaled_distance_mean","likelihood_gap_mean","svd_time_mean","os_time_mean","rml_time_mean","lavaan_time_mean","speedup","speedup_lavaan","svd_constraint_mean","os_constraint_mean","rml_constraint_mean"
3,18,61,2000,500,0,0,0,0.0261862446480507,0.0249866977639946,0.0250009363005477,0.00070857984528331,0.00491504866814591,0.000918707452251945,0.219807658693881,2.73320588134922e-05,0.00883999999998196,0.0411800000001604,2.82615999999985,0.603420000000035,68.6294317627209,14.6532297231104,3.39284156325448e-16,3.24185123190546e-16,1.59227519835881e-10
5,30,113,2000,500,0,0,0,0.0262163314674696,0.0248861602478251,0.0248944742140261,0.000638247365023137,0.00640737023762434,0.000931863948192029,0.28654630816674,5.8368865221766e-05,0.0161000000000204,0.048140000000014,3.09989999999993,1.67258000000008,64.3934358121942,34.7440797673369,4.02122779519232e-16,3.79474229816879e-16,3.60021359391283e-10
10,60,313,2000,500,0,0,0,0.0256592101913944,0.0245127817949359,0.0245153609578944,0.000599006088187359,0.0103662055644719,0.00100954039605688,0.463590806217914,0.000187497913844155,0.0384399999999951,0.129699999999932,5.06699999999997,8.81407999999999,39.0670778720327,67.9574402467589,6.15507644852187e-16,5.60884672040629e-16,6.60297532650844e-10
15,90,613,2000,500,0,0,0,0.0254537967595564,0.0245438811394512,0.0245469721538458,0.000668938683679509,0.0150618313857747,0.00112530997991798,0.673585576884641,0.000346524487636685,0.0723599999998696,0.378780000000064,13.3870200000001,22.3836799999998,35.3424679233269,59.0941443581921,8.5309537212197e-16,7.23199278240827e-16,1.23428278064885e-09
20,120,1013,2000,500,0,0,0,0.025407535661193,0.0246440624635114,0.0246846008895112,0.00142480033089913,0.0264466669537237,0.00161655772711699,1.18273090173647,-0.00217862605595079,0.122979999999996,1.02141999999984,40.71196,50.8027799999999,39.8581974114532,49.7374047894186,1.10400577568726e-15,9.51905221313609e-16,3.79709253972571e-09
