"n","replications","svd_failure_rate","os_failure_rate","rml_failure_rate","svd_rmse","os_rmse","rml_rmse","scaled_distance_mean","scaled_distance_sd","likelihood_gap_mean","likelihood_gap_sd","scaled_distance_svd_rml_mean","scaled_distance_svd_rml_sd","likelihood_gap_svd_mean","likelihood_gap_svd_sd","svd_time_mean","os_time_mean","rml_time_mean","os_constraint_mean","rml_constraint_mean"
300,500,0,0,0,0.0677547527306727,0.0648464965944887,0.065079946109442,0.568103621295535,0.269332858829983,0.00115614151837771,0.00104193077188382,2.68063936692504,0.824401148183296,0.0252571178634312,0.0136938618545903,0.00591999999999916,0.0383400000000004,3.05120000000001,3.28626015289046e-16,1.84241925271778e-10
600,500,0,0,0,0.0477352779476635,0.045403612261333,0.0454580541713596,0.399881727208774,0.210868399042671,0.000293082491452445,0.000299378265237725,2.63368449330585,0.881551206326326,0.0121523204250075,0.00743912818831853,0.00637999999999283,0.0367800000000093,2.80184,3.41726646979623e-16,1.38849812092445e-10
1200,500,0,0,0,0.0337581888686455,0.0322171259914869,0.0322445230570891,0.276324206662704,0.129368452628559,7.0066359244862e-05,6.60266475353031e-05,2.63782952073471,0.830996008503872,0.00599469066091074,0.00338225435512273,0.007399999999996,0.0361599999999971,2.77554,3.34843264226947e-16,1.13838764637109e-10
2400,500,0,0,0,0.0237615778195683,0.0226547826869362,0.0226658929348587,0.196046992399619,0.0955519389566295,1.8107878014078e-05,1.77937921131773e-05,2.61227776964091,0.871223806039159,0.0029688424661298,0.0017945198890022,0.00957999999998174,0.0398200000000143,2.72844000000001,3.28848059893971e-16,1.5246342233155e-10
4800,500,0,0,0,0.0168673706238438,0.01608114340651,0.0160844424978769,0.138756691095695,0.0663650659176661,4.48906529163651e-06,4.45731215699621e-06,2.62126222705321,0.835617871254677,0.00148156072942301,0.000873937793789606,0.0130199999999822,0.0433600000000242,2.68696000000003,3.28181926079196e-16,1.47250164284074e-10
