"J","q","p","d","n","replications","svd_failure_rate","os_failure_rate","rml_failure_rate","svd_rmse","os_rmse","rml_rmse","os_rml_rmse","likelihood_gap_mean","likelihood_gap_sd","svd_time_mean","os_time_mean","rml_time_mean","speedup","svd_constraint_mean","os_constraint_mean","rml_constraint_mean"
6,3,18,61,2000,500,0,0,0,0.0260559669665687,0.0248247392876957,0.0248361540272268,0.000716168897393932,2.82046709056587e-05,3.1487868771266e-05,0.00850000000000057,0.0384000000000016,2.75588,71.7677083333303,3.36841665671272e-16,3.34843264226947e-16,9.59083827911655e-11
10,3,30,123,2000,500,0,0,0,0.0252087736191769,0.0243733601809394,0.0243936710868973,0.000704441939597132,4.71762824360695e-05,3.10824761738697e-05,0.0166000000000076,0.0701599999999903,4.47024,63.7149372862117,4.11004563716233e-16,4.09228206876833e-16,8.18597877039196e-10
14,3,42,201,2000,500,0,0,0,0.0243543109016631,0.0236993697312749,0.0237205551787296,0.000908244080820618,9.01670699993389e-05,4.9570715207367e-05,0.034979999999995,0.108399999999985,6.33182000000004,58.4116236162445,4.49640324973188e-16,4.43423076035288e-16,9.11821449012251e-10
18,3,54,295,2000,500,0,0,0,0.023427340073141,0.0228783224869479,0.0228850066817227,0.00110662461211723,0.000154168546478886,7.76590450461262e-05,0.0577799999999679,0.182099999999991,8.70730000000003,47.8160351455269,4.67625937972116e-16,4.60520510614515e-16,1.48550581258178e-09
22,3,66,405,2000,500,0,0,0,0.0230616216088889,0.022609898781186,0.0225943293742234,0.00137447809803962,0.000256744216325785,0.000109053922158881,0.0842200000000121,0.292899999999961,11.85518,40.4751792420674,4.81170658872543e-16,4.78284079008517e-16,3.29143108501739e-09
