"","R2_SVD","R2_SEM"
"Perceived quality",0.792470274243737,0.735092912732147
"Perceived value",0.460600448428421,0.459406866151563
"Customer satisfaction",0.933265329287383,0.866464128972356
"Customer loyalty",0.743112233294791,0.646226675810769
