"","Population","Mean_SVD","MAD_SVD","Mean_ML","MAD_ML","Mean_CSEM","MAD_CSEM","std_SVD","std_ML","std_CSEM","std_RML"
"theta_51",0.51,0.511021940554556,0.0668204983395796,0.508070005483382,0.0466949511060328,0.51066718084485,0.0684921596316774,0.0833779867258529,0.058043834648379,0.0856606337693629,0.0556375767120367
"theta_52",0.51,0.504585454429196,0.0629491132770127,0.507275792509393,0.0440506765628851,0.504768659051405,0.0639080043538794,0.0790007518434938,0.0552551644738756,0.0802899779642944,0.0555383088404389
"theta_53",0.51,0.505963745232513,0.0654172739414595,0.507193057115634,0.0451448459704449,0.50600405676205,0.0664713387301622,0.0814928396356459,0.056431001143966,0.0831622350239511,0.0553987895577835
"theta_61",0.51,0.509547963369519,0.0398469195424484,0.508187919790592,0.036702994633745,0.509756569153755,0.0399829293385113,0.0502354943371541,0.0465569859724715,0.0505491469480182,0.0484894538628626
"theta_62",0.51,0.505621442676544,0.0442568597090976,0.506281727192259,0.0420134782937948,0.505741932794903,0.0444904133811652,0.0542463033506194,0.0511759394877426,0.0545695783429751,0.0483649971549005
"theta_63",0.51,0.507289337468299,0.0416871653195344,0.507784561854088,0.0397982046937302,0.50714919304302,0.0418051848412992,0.0521779915619859,0.0495231671779162,0.052336584411127,0.0484627985860599
