"","std_loadings","std","z","pval","std_loadings_sem","pval_std_loadings_sem"
"CUEX1",0.50676851050968,0.0748904979880562,6.76679317302045,1.3166808726047e-11,0.549324074997298,NA
"CUEX2",0.43890362088688,0.0933731335836928,4.70053434046399,2.59481613826397e-06,0.459598910094943,8.8657569952133e-08
"CUEX3",0.418047418850497,0.0748604431042065,5.58435672453302,2.34566800412045e-08,0.422744121654261,4.95655297694242e-07
"PERQ1",0.806293233445199,0.0405243486608525,19.8965130863189,4.36241377646454e-88,0.77475076915294,NA
"PERQ2",0.546876614941367,0.0698220840854899,7.83243041373233,4.78528059424598e-15,0.574882703713998,0
"PERQ3",0.771622583369026,0.0437362850612504,17.6426183039645,1.15961141417598e-69,0.750103203921927,0
"PERQ4",0.660912536515992,0.0588354848169713,11.2332300578808,2.80049888131588e-29,0.707091643516732,0
"PERQ5",0.668923865406445,0.0595186961337826,11.2388864148313,2.62674827067339e-29,0.690492278029962,0
"PERQ6",0.651675815072602,0.0712427615583824,9.14725651866489,5.83977267894475e-20,0.706277743976919,0
"PERQ7",0.816996108585089,0.0386043042659997,21.1633423816072,2.07946685832133e-99,0.755908814003135,0
"PERV1",0.758079125361772,0.0431060393180917,17.5863785528448,3.13269145539473e-69,0.742184923908786,NA
"PERV2",0.923583908568799,0.0300220258201187,30.7635438761723,8.05834231475785e-208,0.943362649219434,0
"CUSA1",0.697418401393767,0.0424616117724895,16.4246803708383,1.27353100431043e-60,0.69572784387042,NA
"CUSA2",0.72145271138319,0.0352516421459149,20.4657901721834,4.34580267672652e-93,0.752418039891031,0
"CUSA3",0.798838813230215,0.0357261629530963,22.3600506519265,9.64032931206385e-111,0.801325230288536,0
"CUSL1",0.623014644617395,0.0587392059146878,10.606453303476,2.78106197157422e-26,0.625210654507868,NA
"CUSL2",0.157951958872216,0.0811940702098276,1.94536323236444,0.0517312766685756,0.11815335565805,0.0898651458966446
"CUSL3",0.8297232769941,0.0509470270119304,16.2859999033859,1.24084364242949e-59,0.864745360059923,0
