"","d_LS(empirical_S, Sigma)","d_LS(implied_S, Sigma)","d_LS(implied_S, empirical_S)"
"Sigma_11",0.136669872623992,0.136700839810454,0.00185493347039527
"Sigma_22",0.139750784378289,0.139725705565665,0.00112076831466853
"Sigma_33",0.135943998823625,0.13591370202587,0.00148864724736075
"Sigma_44",0.136986525296077,0.136972543838606,0.00133687057671873
